model_id,benchmark_id,protocol,total_rows,complete_transitions,excluded,repair,repair_denominator_initial_fail,repair_rate,regression,regression_denominator_initial_pass,regression_rate,functional_preservation,functional_preservation_rate,unrepaired_failure,unrepaired_failure_rate,repair_minus_regression,net_gain_rate
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcr,1136,1136,0,11,670,0.016417910447761194,2,466,0.004291845493562232,464,0.9957081545064378,659,0.9835820895522388,9,0.007922535211267605
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dr,1136,1136,0,12,670,0.01791044776119403,4,466,0.008583690987124463,462,0.9914163090128756,658,0.982089552238806,8,0.007042253521126761
qwen2.5-coder-7b-instruct,humaneval_plus,cpr,163,161,2,2,21,0.09523809523809523,7,140,0.05,133,0.95,19,0.9047619047619048,-5,-0.031055900621118012
qwen2.5-coder-7b-instruct,humaneval_plus,cr,163,161,2,3,21,0.14285714285714285,8,140,0.05714285714285714,132,0.9428571428571428,18,0.8571428571428571,-5,-0.031055900621118012
qwen2.5-coder-7b-instruct,humaneval_plus,dcpr,163,161,2,2,21,0.09523809523809523,2,140,0.014285714285714285,138,0.9857142857142858,19,0.9047619047619048,0,0.0
qwen2.5-coder-7b-instruct,humaneval_plus,dcr,163,161,2,2,21,0.09523809523809523,2,140,0.014285714285714285,138,0.9857142857142858,19,0.9047619047619048,0,0.0
qwen2.5-coder-7b-instruct,humaneval_plus,direct,163,161,2,0,21,0.0,0,140,0.0,140,1.0,21,1.0,0,0.0
qwen2.5-coder-7b-instruct,humaneval_plus,dr,163,161,2,1,21,0.047619047619047616,0,140,0.0,140,1.0,20,0.9523809523809523,1,0.006211180124223602
qwen2.5-coder-7b-instruct,humaneval_plus,r,163,161,2,1,21,0.047619047619047616,1,140,0.007142857142857143,139,0.9928571428571429,20,0.9523809523809523,0,0.0
qwen2.5-coder-7b-instruct,humaneval_plus,sc_cpr,163,161,2,1,21,0.047619047619047616,2,140,0.014285714285714285,138,0.9857142857142858,20,0.9523809523809523,-1,-0.006211180124223602
qwen2.5-coder-7b-instruct,humaneval_plus,sc_cr,163,161,2,1,21,0.047619047619047616,2,140,0.014285714285714285,138,0.9857142857142858,20,0.9523809523809523,-1,-0.006211180124223602
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcpr,163,161,2,2,21,0.09523809523809523,2,140,0.014285714285714285,138,0.9857142857142858,19,0.9047619047619048,0,0.0
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcr,163,160,3,1,21,0.047619047619047616,0,139,0.0,139,1.0,20,0.9523809523809523,1,0.00625
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dr,163,161,2,1,21,0.047619047619047616,0,140,0.0,140,1.0,20,0.9523809523809523,1,0.006211180124223602
qwen2.5-coder-7b-instruct,mbpp_plus,cpr,378,374,4,5,96,0.052083333333333336,8,278,0.02877697841726619,270,0.9712230215827338,91,0.9479166666666666,-3,-0.008021390374331552
qwen2.5-coder-7b-instruct,mbpp_plus,cr,378,374,4,5,96,0.052083333333333336,6,278,0.02158273381294964,272,0.9784172661870504,91,0.9479166666666666,-1,-0.00267379679144385
qwen2.5-coder-7b-instruct,mbpp_plus,dcpr,378,375,3,5,97,0.05154639175257732,3,278,0.01079136690647482,275,0.9892086330935251,92,0.9484536082474226,2,0.005333333333333333
qwen2.5-coder-7b-instruct,mbpp_plus,dcr,378,375,3,5,97,0.05154639175257732,3,278,0.01079136690647482,275,0.9892086330935251,92,0.9484536082474226,2,0.005333333333333333
qwen2.5-coder-7b-instruct,mbpp_plus,direct,378,375,3,0,97,0.0,0,278,0.0,278,1.0,97,1.0,0,0.0
qwen2.5-coder-7b-instruct,mbpp_plus,dr,378,375,3,1,97,0.010309278350515464,0,278,0.0,278,1.0,96,0.9896907216494846,1,0.0026666666666666666
qwen2.5-coder-7b-instruct,mbpp_plus,r,378,375,3,1,97,0.010309278350515464,0,278,0.0,278,1.0,96,0.9896907216494846,1,0.0026666666666666666
qwen2.5-coder-7b-instruct,mbpp_plus,sc_cpr,378,375,3,1,97,0.010309278350515464,2,278,0.007194244604316547,276,0.9928057553956835,96,0.9896907216494846,-1,-0.0026666666666666666
qwen2.5-coder-7b-instruct,mbpp_plus,sc_cr,378,375,3,1,97,0.010309278350515464,2,278,0.007194244604316547,276,0.9928057553956835,96,0.9896907216494846,-1,-0.0026666666666666666
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcpr,378,373,5,4,95,0.042105263157894736,5,278,0.017985611510791366,273,0.9820143884892086,91,0.9578947368421052,-1,-0.002680965147453083
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcr,378,374,4,3,96,0.03125,1,278,0.0035971223021582736,277,0.9964028776978417,93,0.96875,2,0.0053475935828877
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dr,378,375,3,2,97,0.020618556701030927,1,278,0.0035971223021582736,277,0.9964028776978417,95,0.979381443298969,1,0.0026666666666666666
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,1136,1134,2,32,572,0.055944055944055944,196,562,0.3487544483985765,366,0.6512455516014235,540,0.9440559440559441,-164,-0.14462081128747795
