model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
devstral-small-2-24b-instruct,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,161,3,0.13043478260869565,0,0.0,138,20
devstral-small-2-24b-instruct,humaneval_plus,dr:sc_dr,multi_call,dr,160,0,0.0,0,0.0,138,22
devstral-small-2-24b-instruct,humaneval_plus,dr:sc_dr,single_call,sc_dr,160,2,0.09090909090909091,1,0.007246376811594203,137,20
devstral-small-2-24b-instruct,humaneval_plus,dcr:sc_dcr,multi_call,dcr,160,2,0.09090909090909091,0,0.0,138,20
devstral-small-2-24b-instruct,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,160,3,0.13636363636363635,0,0.0,138,19
devstral-small-2-24b-instruct,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,158,2,0.09090909090909091,1,0.007352941176470588,135,20
devstral-small-2-24b-instruct,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,158,4,0.18181818181818182,3,0.022058823529411766,133,18
devstral-small-2-24b-instruct,mbpp_plus,cr:sc_cr,multi_call,cr,374,12,0.10909090909090909,14,0.05303030303030303,250,98
devstral-small-2-24b-instruct,mbpp_plus,cr:sc_cr,single_call,sc_cr,374,3,0.02727272727272727,2,0.007575757575757576,262,107
devstral-small-2-24b-instruct,mbpp_plus,cpr:sc_cpr,multi_call,cpr,374,11,0.1,22,0.08333333333333333,242,99
devstral-small-2-24b-instruct,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,374,3,0.02727272727272727,3,0.011363636363636364,261,107
devstral-small-2-24b-instruct,mbpp_plus,dr:sc_dr,multi_call,dr,375,0,0.0,0,0.0,264,111
devstral-small-2-24b-instruct,mbpp_plus,dr:sc_dr,single_call,sc_dr,375,5,0.04504504504504504,3,0.011363636363636364,261,106
devstral-small-2-24b-instruct,mbpp_plus,dcr:sc_dcr,multi_call,dcr,374,4,0.03636363636363636,1,0.003787878787878788,263,106
devstral-small-2-24b-instruct,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,374,5,0.045454545454545456,6,0.022727272727272728,258,105
devstral-small-2-24b-instruct,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,372,4,0.03669724770642202,2,0.0076045627376425855,261,105
devstral-small-2-24b-instruct,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,372,9,0.08256880733944955,8,0.030418250950570342,255,100
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1135,14,0.024734982332155476,23,0.040421792618629174,546,552
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1135,11,0.019434628975265017,10,0.01757469244288225,559,555
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,1135,14,0.024734982332155476,26,0.04569420035149385,543,552
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,1135,11,0.019434628975265017,8,0.014059753954305799,561,555
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1136,2,0.003527336860670194,2,0.0035149384885764497,567,565
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1136,6,0.010582010582010581,3,0.005272407732864675,566,561
