always_refine_protocol,decision_protocol,preserve,refine,prevented_regression,missed_repair,safe_preservation,unsuccessful_refinement_skipped,net_token_saving_total,net_token_saving_mean,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
r,dr,9244,810,18,31,5403,3765,1929742,191.93773622438832,r,dr,10062,10032,30,"{""indeterminate_functional_outcome"":30}",-0.00129585326953748,-0.0026913875598086126,0.0,18,31,9983,0.08543313315739454,0.5678827751196173,0.5665869218500797
cr,dcr,9244,810,540,149,4874,3636,11587239,1152.5003978516013,cr,dcr,10062,10023,39,"{""indeterminate_functional_outcome"":39}",0.039509129003292426,0.03452060261398783,0.04449765539259703,545,149,9329,7.132881641885903e-54,0.5255911403771326,0.565100269380425
cpr,dcpr,9244,810,646,136,4773,3651,18838228,1873.7047941117962,cpr,dcpr,10062,10020,42,"{""indeterminate_functional_outcome"":42}",0.05099800399201597,0.045508982035928146,0.05648702594810379,647,136,9237,1.8662518451381796e-80,0.5134730538922155,0.5644710578842316
