lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
direct,r,10062,10032,30,"{""indeterminate_functional_outcome"":30}",0.0033891547049441787,0.001594896331738437,0.00518341307814992,56,22,9954,0.00014948153872377523,0.564493620414673,0.5678827751196173
r,cr,10062,10021,41,"{""indeterminate_functional_outcome"":41}",-0.042610517912383995,-0.04809899211655523,-0.03712204370821275,188,615,9218,1.0958771446664266e-53,0.568306556231913,0.5256960383195289
cr,cpr,10062,10023,39,"{""indeterminate_functional_outcome"":39}",-0.012371545445475406,-0.01606305497356081,-0.008680035917390003,112,236,9675,2.668638984917944e-11,0.5255911403771326,0.5132195949316571
