multi_call_protocol,single_call_protocol,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
cr,sc_cr,cr,sc_cr,10062,10023,39,"{""indeterminate_functional_outcome"":39}",0.039509129003292426,0.03412152050284346,0.044896737503741395,607,211,9205,3.624663954386898e-45,0.5255911403771326,0.565100269380425
cpr,sc_cpr,cpr,sc_cpr,10062,10020,42,"{""indeterminate_functional_outcome"":42}",0.032135728542914174,0.025848303393213572,0.03832335329341317,667,345,9008,2.4985609984757525e-24,0.5134730538922155,0.5456087824351298
dr,sc_dr,dr,sc_dr,10062,10032,30,"{""indeterminate_functional_outcome"":30}",0.0006977671451355662,-0.0010964912280701754,0.002492025518341308,43,36,9953,0.49989687686032663,0.5665869218500797,0.5672846889952153
dcr,sc_dcr,dcr,sc_dcr,10062,10029,33,"{""indeterminate_functional_outcome"":33}",0.0004985541928407618,-0.0021936384484993517,0.003290457672749028,100,95,9834,0.7746233321773485,0.5649616113271513,0.565460165519992
dcpr,sc_dcpr,dcpr,sc_dcpr,10062,10027,35,"{""indeterminate_functional_outcome"":35}",-0.0008975765433330009,-0.003989229081480004,0.002194075994814002,114,123,9790,0.6033972369843801,0.5641767228483096,0.5632791463049766
