model_id,benchmark_id,protocol,total_rows,cost_determinate,end_to_end_tokens_total,end_to_end_tokens_mean,end_to_end_tokens_median,end_to_end_input_tokens_total,end_to_end_input_tokens_mean,end_to_end_input_tokens_median,end_to_end_output_tokens_total,end_to_end_output_tokens_mean,end_to_end_output_tokens_median,incremental_tokens_total,incremental_input_tokens_total,incremental_output_tokens_total,decision_overhead_tokens_total,avoided_refinement_tokens_total,net_token_saving_total,determinate_final,correct,pass_rate
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,378,378,205571,543.8386243386243,514.5,161794,428.02645502645504,406.0,43777,115.81216931216932,100.5,99960,98428,1532,99960,406100,306140,374,276,0.7379679144385026
deepseek-coder-v2-lite-instruct,mbpp_plus,direct,378,378,105611,279.3941798941799,264.5,63366,167.63492063492063,159.5,42245,111.75925925925925,96.5,0,0,0,,,,374,276,0.7379679144385026
deepseek-coder-v2-lite-instruct,mbpp_plus,dr,378,378,205571,543.8386243386243,514.5,161794,428.02645502645504,406.0,43777,115.81216931216932,100.5,99960,98428,1532,99960,160371,60411,374,276,0.7379679144385026
deepseek-coder-v2-lite-instruct,mbpp_plus,r,378,378,265982,703.6560846560847,655.0,181450,480.02645502645504,458.0,84532,223.62962962962962,193.0,160371,118084,42287,,,,374,277,0.7406417112299465
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cpr,378,378,282892,748.3915343915344,702.5,192790,510.02645502645504,488.0,90102,238.36507936507937,202.0,177281,129424,47857,,,,374,269,0.7192513368983957
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cr,378,378,274147,725.2566137566138,678.0,188632,499.02645502645504,477.0,85515,226.23015873015873,195.0,168536,125266,43270,,,,374,275,0.7352941176470589
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcpr,378,378,299504,792.3386243386243,732.0,207154,548.026455026455,526.0,92350,244.31216931216932,204.0,193893,143788,50105,,,,374,269,0.7192513368983957
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcr,378,378,295152,780.8253968253969,730.0,203752,539.026455026455,517.0,91400,241.7989417989418,205.0,189541,140386,49155,,,,374,271,0.7245989304812834
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dr,378,378,286580,758.1481481481482,709.0,198460,525.026455026455,503.0,88120,233.1216931216931,202.0,180969,135094,45875,,,,374,274,0.732620320855615
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,1136,1136,4369379,3846.2843309859154,3697.5,2831021,2492.0959507042253,2403.5,1538358,1354.1883802816901,1316.5,3826566,2544310,1282256,,,,1133,430,0.3795233892321271
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,1136,1136,2997699,2638.819542253521,2515.0,1893981,1667.2367957746478,1587.0,1103718,971.5827464788732,914.0,2454886,1607270,847616,,,,1134,456,0.4021164021164021
devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr,1136,1136,1241524,1092.8908450704225,891.0,922545,812.0994718309859,676.5,318979,280.7913732394366,212.5,698711,635834,62877,522275,3650130,3127855,1136,540,0.4753521126760563
devstral-small-2-24b-instruct,bigcodebench_instruct,dcr,1136,1136,1178710,1037.5968309859154,891.0,878722,773.5228873239437,676.5,299988,264.07394366197184,212.5,635897,592011,43886,522275,2341264,1818989,1136,538,0.4735915492957746
devstral-small-2-24b-instruct,bigcodebench_instruct,direct,1136,1136,542813,477.82834507042253,452.0,286711,252.38644366197184,236.0,256102,225.44190140845072,205.5,0,0,0,,,,1136,538,0.4735915492957746
devstral-small-2-24b-instruct,bigcodebench_instruct,dr,1136,1136,1105157,972.8494718309859,891.0,830666,731.2200704225352,676.5,274491,241.62940140845072,212.5,562344,543955,18389,522275,793154,270879,1136,540,0.4753521126760563
devstral-small-2-24b-instruct,bigcodebench_instruct,r,1136,1136,1376036,1211.2992957746478,1140.0,864740,761.2147887323944,725.5,511296,450.0845070422535,410.0,833223,578029,255194,,,,1136,542,0.477112676056338
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cpr,1136,1136,1410049,1241.2403169014085,1168.5,897684,790.2147887323944,754.5,512365,451.0255281690141,412.0,867236,610973,256263,,,,1136,541,0.4762323943661972
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cr,1136,1136,1399846,1232.2588028169014,1160.5,887460,781.2147887323944,745.5,512386,451.04401408450707,412.0,857033,600749,256284,,,,1136,544,0.4788732394366197
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcpr,1136,1136,1478176,1301.2112676056338,1227.5,940852,828.2147887323944,792.5,537324,472.9964788732394,433.0,935363,654141,281222,,,,1135,538,0.47400881057268723
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcr,1136,1136,1454845,1280.6734154929577,1209.0,931764,820.2147887323944,784.5,523081,460.4586267605634,419.0,912032,645053,266979,,,,1136,542,0.477112676056338
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dr,1136,1136,1437876,1265.7359154929577,1195.5,915860,806.2147887323944,770.5,522016,459.5211267605634,419.0,895063,629149,265914,,,,1136,542,0.477112676056338
devstral-small-2-24b-instruct,humaneval_plus,cpr,163,163,474383,2910.325153374233,2730,327094,2006.7116564417179,1911,147289,903.6134969325153,803,406135,288353,117782,,,,161,134,0.8322981366459627
devstral-small-2-24b-instruct,humaneval_plus,cr,163,163,334511,2052.2147239263804,1882,223175,1369.1717791411043,1270,111336,683.0429447852761,604,266263,184434,81829,,,,161,136,0.84472049689441
devstral-small-2-24b-instruct,humaneval_plus,dcpr,163,163,184393,1131.2453987730062,810,136710,838.7116564417178,611,47683,292.53374233128835,177,116145,97969,18176,65288,355278,289990,161,139,0.8633540372670807
devstral-small-2-24b-instruct,humaneval_plus,dcr,163,163,172075,1055.6748466257668,810,125646,770.8343558282209,611,46429,284.840490797546,177,103827,86905,16922,65288,227724,162436,161,140,0.8695652173913043
devstral-small-2-24b-instruct,humaneval_plus,direct,163,163,68248,418.6993865030675,400,38741,237.67484662576686,221,29507,181.0245398773006,167,0,0,0,,,,161,138,0.8571428571428571
devstral-small-2-24b-instruct,humaneval_plus,dr,163,163,147024,901.9877300613497,810,110083,675.3558282208589,611,36941,226.6319018404908,176,78776,71342,7434,65288,93768,28480,161,138,0.8571428571428571
