role,run_or_attempt_id,status,included_form
primary_inference,run_c99d3b1d562acc3e80026e48,completed_validated,call_inventory_and_consolidated_parsed_artifacts
non_exact_decision_response_processing,decision-adjudication-primary-20260806-r1,completed_validated,complete_compact_records
candidate_evaluation,evaluation-full-candidates-20260806-r1,completed,excluded_until_terminal_validation
role_separated_inference,run_1dd46dd4a0ae265ab7a184a9,partial_with_included_phases_validated,validated_phase_call_inventory_and_parsed_artifacts
